game_id,title,developer,genre,release_date,release_month,release_day_of_week,price_usd,is_f2p,has_launch_discount,launch_discount_pct,tags,n_tags,has_early_access,has_multiplayer,has_controller_support,developer_prior_titles,developer_years_active,developer_avg_prior_rating,developer_is_established,wishlists,has_demo,demo_conversion_rate,marketing_score,reviews_24h,positive_ratio,peak_ccu_24h,review_velocity_per_hour,refund_rate,median_playtime_24h,launch_success_score
SG-0017,The Frontier,Shadow Labs,Adventure,2020-07-12,7,Sunday,29.99,False,False,0,Story Rich|Exploration|Atmospheric|Singleplayer|Turn-Based|PvE,6,False,False,False,3,3,0.603,False,830,False,,14.5,11,0.653,77,0.46,0.114,3.01,48.64
SG-0018,The Rift,Storm Games,Strategy,2023-02-15,2,Wednesday,14.99,False,False,0,Tactical|Management|Base Building|Farming|Open World|Real-Time|Bullet Hell|Relaxing,8,False,False,False,5,5,0.856,False,77,False,,0.0,1,0.576,5,0.04,0.2,1.85,38.57
SG-0019,Frost Bastion,Nexus Labs,Action,2023-11-01,11,Wednesday,9.99,False,True,10,Fast-Paced|Hack and Slash|3D|Controller Support|Competitive|Metroidvania|Early Access,7,True,False,True,3,1,0.676,False,28547,False,,21.9,314,0.416,948,13.08,0.232,0.96,45.16
SG-0020,Frontier,Obsidian Productions,Indie,2022-08-23,8,Tuesday,19.99,False,False,0,Pixel Graphics|Atmospheric|Online Co-op|Real-Time|Moddable|Tactical,6,False,True,False,3,3,0.629,False,4686,False,,68.1,30,0.601,90,1.25,0.211,1.02,36.5
SG-0021,Kingdom,Nexus Forge,Action,2020-03-21,3,Saturday,29.99,False,True,20,Fast-Paced|Hack and Slash|Turn-Based|City Builder,4,False,False,False,0,4,0.735,False,2240,False,,20.6,59,0.963,297,2.46,0.087,4.14,61.13
SG-0022,Golden Depths,Azure Collective,RPG,2021-12-21,12,Tuesday,0.0,True,False,0,Story Rich|Fantasy|Choices Matter|Atmospheric|PvP,5,False,True,False,3,1,0.765,True,43686,True,0.166,40.9,1905,0.688,3022,79.38,0.161,2.7,78.79
SG-0023,The Wasteland,Titan Forge,Action,2021-02-03,2,Wednesday,49.99,False,False,0,Fast-Paced|Hack and Slash|Controller Support|Competitive|Story Rich|Narrative|Early Access|Exploration,8,True,False,True,2,5,0.98,True,10970,False,,74.3,81,0.552,585,3.38,0.16,0.89,39.21
SG-0024,The Chronicles,Frost Works,Puzzle,2021-05-23,5,Sunday,14.99,False,True,15,Singleplayer|Relaxing|2D|Real-Time|PvP|Card Game,6,False,True,False,0,6,0.352,False,85,True,0.038,10.0,1,0.456,5,0.04,0.208,1.75,34.39
SG-0025,The Legends,Apex Productions,Simulation,2020-07-26,7,Sunday,0.0,True,False,0,Management|Relaxing|City Builder|Narrative|Retro|2D,6,False,False,False,4,2,0.685,True,16299,True,0.151,50.0,328,0.636,414,13.67,0.09,2.95,62.22
SG-0026,Legends of Zenith,Neon Creations,Simulation,2021-08-07,8,Saturday,39.99,False,False,0,Competitive|Cooking|Metroidvania|Narrative|Pixel Graphics|Anime,6,False,False,False,4,3,0.957,False,892,False,,28.9,21,0.879,102,0.88,0.06,3.35,56.71
SG-0027,The Realm,Crystal Studios,Action,2022-04-22,4,Friday,9.99,False,False,0,Hack and Slash|3D|Co-op|Cute,4,False,True,False,3,6,0.842,False,825,False,,67.0,23,0.649,63,0.96,0.151,3.16,48.37
SG-0028,Zenith,Crimson Digital,Adventure,2021-06-18,6,Friday,14.99,False,True,10,Exploration|Singleplayer|Narrative|Story Rich|Tactical|Dark|Multiplayer,7,False,True,False,4,1,0.645,True,12128,False,,55.9,552,0.878,568,23.0,0.125,3.43,76.72
SG-0029,Dominion of Legends,Neon Interactive,Sports,2023-09-28,9,Thursday,24.99,False,False,0,Competitive|Controller Support|3D|Anime|Exploration|Moddable|2D|Real-Time,8,False,False,True,4,4,0.472,False,687,False,,77.5,21,0.659,50,0.88,0.17,2.94,47.95
SG-0030,Neon Zenith,Lunar Creations,Roguelike,2020-01-14,1,Tuesday,14.99,False,False,0,Procedural Generation|Difficult|Pixel Graphics|Fast-Paced,4,False,False,False,4,1,0.406,True,4287,False,,74.2,101,0.764,155,4.21,0.061,2.53,54.27
SG-0031,Rift of Protocol,Lunar Arts,Puzzle,2022-02-23,2,Wednesday,19.99,False,True,15,Singleplayer|2D|Narrative|Pixel Graphics|Post-Apocalyptic,5,False,False,False,3,3,0.829,False,2757,False,,97.1,126,0.822,286,5.25,0.112,2.85,58.46
SG-0032,Dark Dominion,Frost Productions,Adventure,2021-04-03,4,Saturday,24.99,False,True,20,Exploration|Fantasy|Crafting|Retro|Controller Support,5,False,False,True,3,3,0.794,False,6569,False,,19.3,22,0.409,240,0.92,0.262,0.2,26.19
SG-0033,Nexus,Silver Workshop,Adventure,2023-04-10,4,Monday,59.99,False,False,0,Story Rich|Exploration|Atmospheric|Singleplayer|Post-Apocalyptic,5,False,False,False,0,14,0.553,False,418,False,,11.3,3,0.483,15,0.12,0.223,1.2,32.33
SG-0034,Depths of Depths,Azure Games,Adventure,2022-09-02,9,Friday,24.99,False,True,25,Exploration|Atmospheric|Singleplayer|Dark|Procedural Generation,5,False,False,False,12,10,0.773,False,1348,False,,67.0,56,0.861,186,2.33,0.062,2.87,57.22
SG-0035,The Haven,Crystal Productions,Action,2020-10-14,10,Wednesday,19.99,False,True,25,Fast-Paced|Hack and Slash|Card Game|Post-Apocalyptic|Souls-like|Base Building|Retro|Atmospheric,8,False,False,False,3,2,0.93,False,465,True,0.024,16.6,3,0.576,13,0.12,0.208,0.51,31.88
SG-0036,Legends,Crystal Digital,Indie,2023-12-16,12,Saturday,19.99,False,True,25,2D|Retro|Atmospheric|Moddable|Early Access|Anime|Base Building|Tactical,8,True,False,False,0,2,0.741,False,1680,False,,54.6,14,0.432,34,0.58,0.263,1.77,33.57
SG-0037,The Sanctum,Crystal Digital,Puzzle,2020-11-30,11,Monday,9.99,False,True,10,Singleplayer|Relaxing|2D|Narrative|Controller Support|Multiplayer|Early Access,7,True,True,True,0,2,0.741,False,9823,False,,20.9,214,0.614,781,8.92,0.152,2.83,56.98
SG-0038,Haven of Frontier,Rogue Labs,Puzzle,2021-03-22,3,Monday,9.99,False,True,25,Relaxing|Atmospheric|Bullet Hell|Narrative|Tower Defense|Metroidvania|Moddable|Anime,8,False,False,False,5,3,0.941,False,171,False,,32.3,4,0.911,5,0.17,0.104,4.43,55.96
SG-0039,The Eclipse,Nova Media,Strategy,2022-02-22,2,Tuesday,9.99,False,False,0,Management|PvE|Relaxing|Online Co-op|Anime,5,False,True,False,0,3,0.81,True,24414,True,0.198,27.0,895,0.769,2200,37.29,0.193,2.2,74.99
SG-0040,The Protocol,Neon Labs,Adventure,2021-04-06,4,Tuesday,14.99,False,True,25,Story Rich|Exploration|Atmospheric|Singleplayer,4,False,False,False,0,2,0.627,False,3167,False,,0.0,35,0.708,208,1.46,0.12,2.61,49.71
SG-0041,Zenith of Forge,Neon Creations,RPG,2021-09-17,9,Friday,49.99,False,True,20,Story Rich|Choices Matter|Cooking|Turn-Based,4,False,False,False,4,3,0.957,False,1820,True,0.08,46.5,33,0.864,85,1.38,0.015,4.13,57.36
SG-0042,The Legends,Titan Productions,Adventure,2021-02-28,2,Sunday,29.99,False,False,0,Atmospheric|Singleplayer|City Builder|VR|Anime|Metroidvania,6,False,False,False,4,2,0.7,False,1260,False,,0.1,49,0.789,124,2.04,0.118,4.75,54.35
SG-0043,The Rift,Azure Labs,Strategy,2021-03-01,3,Monday,29.99,False,True,15,Turn-Based|Real-Time|Management|Tower Defense|Cute|Co-op|Singleplayer,7,False,True,False,0,2,0.551,False,289,True,0.066,44.0,7,0.738,5,0.29,0.181,5.05,49.74
SG-0044,Shadow Citadel,Shadow Creations,Strategy,2023-02-17,2,Friday,29.99,False,False,0,Tactical|Sci-Fi|Bullet Hell|Souls-like,4,False,False,False,7,9,0.922,True,2085,True,0.076,61.4,26,0.758,217,1.08,0.166,2.66,50.45
SG-0045,Hidden Depths,Azure Games,Adventure,2020-12-14,12,Monday,29.99,False,False,0,Story Rich|Exploration|Atmospheric|Singleplayer|Narrative|Sandbox|Sci-Fi,7,False,False,False,12,10,0.773,False,751,False,,31.5,9,0.43,26,0.38,0.233,0.21,25.93
SG-0046,Neon Exodus,Golden Digital,Visual Novel,2021-10-10,10,Sunday,0.0,True,False,0,Choices Matter|2D|Cute|Tactical|3D|PvE|Difficult|Anime,8,False,False,False,0,1,0.658,False,1759,False,,10.2,30,0.582,157,1.25,0.119,3.28,47.51
SG-0047,Nexus of Rift,Nova Collective,Racing,2021-10-25,10,Monday,29.99,False,False,0,Controller Support|3D|Crafting|Deck Building|Tower Defense|Fantasy,6,False,False,True,4,1,0.282,False,1789,False,,60.7,52,0.576,92,2.17,0.178,2.47,44.39
SG-0048,Bastion,Iron Digital,Adventure,2022-04-22,4,Friday,14.99,False,False,0,Story Rich|Atmospheric|Singleplayer|Narrative|Co-op|Bullet Hell|Turn-Based|Base Building,8,False,True,False,1,3,0.666,False,3030,False,,31.9,52,0.457,81,2.17,0.158,2.14,39.44
SG-0049,The Zenith,Void Entertainment,Roguelike,2021-04-23,4,Friday,29.99,False,False,0,Pixel Graphics|2D|Fast-Paced|Fantasy|Story Rich,5,False,False,False,1,5,0.827,False,3594,False,,35.0,146,0.801,66,6.08,0.087,3.29,58.81
SG-0050,Kingdom,Obsidian Entertainment,Adventure,2022-01-11,1,Tuesday,14.99,False,True,10,Atmospheric|Singleplayer|Narrative|Pixel Graphics|Tower Defense|Crafting,6,False,False,False,0,1,0.672,False,36860,True,0.055,26.7,1435,0.835,2955,59.79,0.034,2.91,85.93
SG-0051,The Sanctum,Iron Games,Casual,2023-07-02,7,Sunday,19.99,False,True,15,Relaxing|2D|Puzzle|Story Rich|Dark|Metroidvania,6,False,False,False,1,2,0.654,False,27046,True,0.149,50.0,610,0.632,1387,25.42,0.218,0.96,61.02
SG-0052,Thunder Depths,Obsidian Media,Puzzle,2023-11-25,11,Saturday,14.99,False,True,15,Singleplayer|Relaxing|Atmospheric|Pixel Graphics|Difficult|VR|Open World|Retro,8,False,False,False,0,1,0.845,False,7501,False,,28.9,183,0.771,624,7.62,0.097,3.09,61.5
SG-0053,Chronicles,Lunar Productions,Simulation,2023-04-13,4,Thursday,24.99,False,False,0,Management|Relaxing|City Builder|Open World,4,False,False,False,4,1,0.965,False,198,False,,17.8,4,0.636,11,0.17,0.14,0.83,36.33
SG-0054,Realm of Nexus,Frost Digital,Casual,2021-10-18,10,Monday,14.99,False,False,0,Puzzle|Singleplayer|Sci-Fi|Pixel Graphics,4,False,False,False,6,2,0.641,True,13384,False,,17.9,214,0.726,1193,8.92,0.161,1.36,54.51
SG-0055,Nexus of Frontier,Azure Creations,Adventure,2022-09-21,9,Wednesday,9.99,False,True,10,Story Rich|Exploration|Singleplayer|Card Game|Open World,5,False,False,False,1,3,0.845,False,1353,True,0.167,77.0,71,0.825,34,2.96,0.066,4.25,56.74
SG-0056,Rift of Abyss,Crystal Studios,Indie,2021-04-20,4,Tuesday,14.99,False,True,25,Pixel Graphics|Retro|Atmospheric|Moddable|Anime|Deck Building|Narrative,7,False,False,False,3,6,0.842,False,1771,False,,67.6,48,0.748,116,2.0,0.216,3.15,51.59
SG-0057,Shadow Realm,Neon Labs,RPG,2021-02-02,2,Tuesday,4.99,False,False,0,Story Rich|Fantasy|PvE|Sandbox|Retro|2D|Music|Crafting,8,False,False,False,0,2,0.627,False,16978,False,,64.5,545,0.768,982,22.71,0.11,2.68,73.75
SG-0058,Nexus of Chronicles,Apex Software,Adventure,2023-11-22,11,Wednesday,29.99,False,True,20,Story Rich|Exploration|Atmospheric|Narrative|Singleplayer|Open World|Tower Defense|Cooking,8,False,False,False,3,1,0.623,True,16329,False,,57.4,817,0.863,1488,34.04,0.1,3.47,80.33
SG-0059,Eclipse of Legacy,Nova Forge,Action,2020-09-18,9,Friday,4.99,False,False,0,Fast-Paced|Controller Support|Competitive|Management|Online Co-op|3D,6,False,True,True,0,3,0.541,False,7818,False,,0.0,30,0.411,44,1.25,0.317,0.41,25.99
SG-0060,Sanctum of Realm,Lunar Studios,Visual Novel,2021-09-22,9,Wednesday,24.99,False,True,25,Anime|Choices Matter|Story Rich|Base Building|Controller Support|Cute,6,False,False,True,3,7,0.799,False,1759,False,,33.0,19,0.81,197,0.79,0.061,3.47,54.94
SG-0061,Horizon of Depths,Obsidian Labs,Horror,2022-04-30,4,Saturday,19.99,False,True,10,Dark|Story Rich|3D|Turn-Based,4,False,False,False,3,4,0.672,False,596,True,0.218,26.8,12,0.556,33,0.5,0.197,2.22,40.43
SG-0062,Exodus of Abyss,Azure Labs,Adventure,2021-08-04,8,Wednesday,19.99,False,True,25,Story Rich|Exploration|Singleplayer|Dark|Multiplayer,5,False,True,False,0,2,0.551,False,555,False,,24.4,7,0.544,5,0.29,0.2,3.24,43.62
SG-0063,The Nexus,Lunar Media,Strategy,2023-05-20,5,Saturday,14.99,False,False,0,Turn-Based|Real-Time|Tactical|Management,4,False,False,False,0,2,0.657,False,167,False,,73.4,1,0.612,12,0.04,0.195,1.52,38.12
SG-0064,Citadel,Apex Collective,Horror,2023-01-13,1,Friday,14.99,False,False,0,Atmospheric|3D|Metroidvania|Retro,4,False,False,False,0,2,0.894,False,1502,False,,73.1,26,0.644,25,1.08,0.174,2.1,43.31
SG-0065,The Abyss,Nova Works,Horror,2021-02-16,2,Tuesday,9.99,False,True,20,3D|Open World|Farming|2D|Choices Matter|Exploration,6,False,False,False,1,4,0.691,True,11349,False,,60.8,100,0.5,142,4.17,0.194,1.86,40.93
SG-0066,The Bastion,Apex Games,Simulation,2021-12-08,12,Wednesday,19.99,False,True,25,Sandbox|Relaxing|City Builder|Fast-Paced|Tactical|Controller Support,6,False,False,True,0,5,0.812,True,10354,False,,75.8,402,0.695,267,16.75,0.103,2.17,62.31
SG-0067,The Wasteland,Storm Forge,Racing,2023-11-30,11,Thursday,39.99,False,False,0,Multiplayer|3D|Competitive|Retro|Atmospheric|Difficult,6,False,True,False,6,1,0.746,False,3356,False,,73.3,76,0.65,260,3.17,0.138,2.8,50.52
SG-0068,Frost Chronicles,Silver Collective,Action,2022-12-23,12,Friday,9.99,False,True,15,Fast-Paced|Controller Support|Competitive|Sandbox,4,False,False,True,4,1,0.898,False,559,False,,49.4,15,0.744,14,0.62,0.093,4.25,51.59
SG-0069,The Chronicles,Neon Interactive,Puzzle,2022-03-13,3,Sunday,4.99,False,False,0,Singleplayer|Narrative|Difficult|Sci-Fi|Crafting|Management|Story Rich|City Builder,8,False,False,False,4,4,0.472,False,488,False,,36.0,3,0.631,10,0.12,0.206,1.59,38.94
SG-0070,The Legacy,Azure Studios,Simulation,2022-07-03,7,Sunday,19.99,False,False,0,Management|Sandbox|Relaxing|City Builder|Difficult|VR|Exploration|Cute,8,False,False,False,0,1,0.539,True,61662,False,,100.0,895,0.799,6066,37.29,0.097,4.29,92.52
SG-0071,The Horizon,Neon Studios,Strategy,2023-01-28,1,Saturday,19.99,False,False,0,Turn-Based|Real-Time|Base Building|Cooking|Bullet Hell|City Builder|Souls-like,7,False,False,False,9,2,0.792,False,741,False,,47.2,18,0.733,51,0.75,0.19,1.84,44.28
SG-0072,Forgotten Dominion,Ember Forge,Action,2020-11-04,11,Wednesday,9.99,False,False,0,Hack and Slash|3D|Choices Matter|Sandbox,4,False,False,False,4,1,0.738,False,648,False,,44.4,18,0.557,31,0.75,0.185,3.43,44.79
SG-0073,The Eclipse,Crystal Games,Action,2022-01-06,1,Thursday,14.99,False,False,0,Fast-Paced|Hack and Slash|3D|Deck Building,4,False,False,False,1,3,0.374,False,3671,False,,30.3,58,0.481,220,2.42,0.153,2.02,40.43
SG-0074,Bastion of Horizon,Ember Studios,Strategy,2022-03-29,3,Tuesday,14.99,False,False,0,Tactical|Base Building|PvE|Real-Time,4,False,False,False,0,1,0.587,False,102,False,,9.6,1,0.625,7,0.04,0.139,2.65,44.99
SG-0075,Iron Protocol,Frost Games,Platformer,2023-05-17,5,Wednesday,24.99,False,True,10,Difficult|Singleplayer|Cute|City Builder,4,False,False,False,1,12,0.421,True,12131,False,,68.8,104,0.459,197,4.33,0.241,0.76,33.89
SG-0076,Inferno,Shadow Studios,Racing,2022-01-13,1,Thursday,24.99,False,True,10,Fast-Paced|Multiplayer|Controller Support|3D|Competitive,5,False,True,True,0,2,0.721,False,4223,False,,23.8,83,0.499,80,3.46,0.296,1.29,35.64
SG-0077,The Nexus,Obsidian Software,Survival,2022-04-17,4,Sunday,24.99,False,True,25,Crafting|Open World|Multiplayer|Sandbox,4,False,True,False,0,1,0.736,True,813,False,,67.0,8,0.788,78,0.33,0.103,3.7,52.72
SG-0078,Bastion of Abyss,Lunar Media,Simulation,2020-09-04,9,Friday,24.99,False,False,0,Sandbox|Crafting|Relaxing|Music|Procedural Generation|VR|Card Game,7,False,False,False,0,2,0.657,False,2385,False,,30.7,43,0.562,119,1.79,0.22,0.2,31.76
SG-0079,Realm,Lunar Media,RPG,2022-05-14,5,Saturday,19.99,False,False,0,Story Rich|Fantasy|Open World|Turn-Based|Metroidvania|Exploration,6,False,False,False,0,2,0.657,False,3055,False,,59.8,60,0.677,260,2.5,0.182,3.21,51.02
SG-0080,Endless Legends,Frost Creations,Adventure,2023-10-23,10,Monday,14.99,False,False,0,Atmospheric|PvE|Base Building|Anime|Souls-like|Early Access|Exploration|Cooking,8,True,False,False,4,3,0.674,False,4716,True,0.068,40.4,162,0.592,114,6.75,0.14,4.19,52.58
SG-0081,Thunder Abyss,Neon Entertainment,RPG,2023-09-20,9,Wednesday,19.99,False,True,10,Choices Matter|Souls-like|Anime|VR|Singleplayer|Card Game|Bullet Hell|Narrative,8,False,False,False,4,1,0.477,True,59171,True,0.039,58.8,1611,0.666,6059,67.12,0.118,2.75,86.95
SG-0082,Neon Inferno,Lunar Media,RPG,2022-02-13,2,Sunday,19.99,False,False,0,Story Rich|Fantasy|Choices Matter|Open World|Turn-Based|Controller Support|Real-Time|Cute,8,False,False,True,0,2,0.657,False,13763,False,,8.8,314,0.823,1362,13.08,0.084,3.15,71.44
SG-0083,Protocol of Dominion,Pixel Labs,Simulation,2022-08-17,8,Wednesday,9.99,False,True,15,Management|Relaxing|City Builder|Early Access|Tower Defense|Card Game|Competitive|VR,8,True,False,False,1,5,0.496,False,183,False,,6.3,2,0.478,5,0.08,0.198,0.2,27.46
SG-0084,Legends,Titan Works,Indie,2022-05-28,5,Saturday,39.99,False,False,0,Pixel Graphics|2D|Singleplayer|Atmospheric|Card Game|Metroidvania|Controller Support|Difficult,8,False,False,True,1,4,0.805,True,627,False,,12.8,5,0.559,42,0.21,0.216,1.84,38.11
SG-0085,The Abyss,Titan Labs,Visual Novel,2023-03-16,3,Thursday,9.99,False,False,0,Narrative|Choices Matter|2D|Moddable|Sandbox,5,False,False,False,1,5,0.416,False,2010,True,0.01,21.1,40,0.501,42,1.67,0.227,0.81,32.44
SG-0086,The Chronicles,Azure Arts,Adventure,2021-07-04,7,Sunday,14.99,False,True,25,Atmospheric|Singleplayer|Narrative|Controller Support|VR|Farming|Story Rich,7,False,False,True,1,3,0.949,False,2022,False,,0.0,3,0.256,5,0.12,0.36,0.2,18.42
SG-0087,Realm of Kingdom,Storm Collective,Indie,2022-11-01,11,Tuesday,19.99,False,False,0,Real-Time|PvP|Online Co-op|Retro|Cute,5,False,True,False,5,4,0.715,False,1151,False,,28.3,50,0.94,151,2.08,0.069,3.1,59.78
SG-0088,Chronicles,Obsidian Labs,Simulation,2021-02-13,2,Saturday,19.99,False,True,10,Management|Sandbox|Crafting|City Builder|VR|Bullet Hell,6,False,False,False,3,4,0.672,False,2873,False,,66.4,20,0.505,88,0.83,0.179,2.43,40.8
SG-0089,The Nexus,Pixel Studios,Puzzle,2020-05-05,5,Tuesday,29.99,False,True,10,Singleplayer|Relaxing|Narrative|Controller Support|Sandbox|Atmospheric|Farming,7,False,False,True,4,3,0.765,False,8069,True,0.173,22.7,313,0.857,262,13.04,0.13,2.85,66.57
SG-0090,Frost Protocol,Golden Productions,Adventure,2023-02-02,2,Thursday,9.99,False,False,0,Exploration|Fishing|Hack and Slash|Music|Online Co-op|VR,6,False,True,False,0,4,0.653,False,613,False,,44.9,19,0.665,32,0.79,0.069,2.39,46.76
SG-0091,Last Exodus,Void Works,Racing,2023-10-02,10,Monday,24.99,False,False,0,Fast-Paced|Multiplayer|Controller Support|Souls-like|Early Access|Relaxing|Choices Matter,7,True,True,True,2,17,0.499,False,48646,False,,18.7,314,0.467,1008,13.08,0.184,0.79,46.8
SG-0092,Crystal Legends,Void Workshop,Racing,2022-07-30,7,Saturday,19.99,False,False,0,Multiplayer|Controller Support|Fishing|Choices Matter|Cooking,5,False,True,True,1,1,0.675,False,30724,False,,15.6,741,0.604,311,30.88,0.147,0.88,56.57
SG-0093,Eclipse of Frontier,Lunar Creations,Adventure,2022-05-12,5,Thursday,29.99,False,False,0,Story Rich|Atmospheric|Narrative|2D|Music|Singleplayer|3D|Co-op,8,False,True,False,4,1,0.406,True,26587,False,,60.7,782,0.686,962,32.58,0.109,2.77,71.63
SG-0094,The Bastion,Crimson Forge,RPG,2023-10-27,10,Friday,14.99,False,False,0,Fantasy|Open World|Turn-Based|Tactical,4,False,False,False,1,2,0.856,False,13020,False,,9.5,265,0.683,183,11.04,0.131,2.6,57.85
SG-0095,Legends,Nexus Games,RPG,2020-01-28,1,Tuesday,19.99,False,False,0,Choices Matter|Open World|Turn-Based|Atmospheric|Cooking|Card Game|2D|Controller Support,8,False,False,True,4,3,0.608,True,5712,False,,49.6,237,0.823,227,9.88,0.145,3.17,62.92
SG-0096,The Frontier,Iron Workshop,Strategy,2021-08-12,8,Thursday,24.99,False,False,0,Turn-Based|Real-Time|Open World|Cute|City Builder|Sci-Fi,6,False,False,False,2,2,0.464,False,871,False,,2.6,15,0.621,13,0.62,0.213,2.88,45.46
SG-0097,The Kingdom,Crimson Digital,Casual,2020-03-09,3,Monday,9.99,False,False,0,Cute|2D|Puzzle|Crafting|Farming|Early Access,6,True,False,False,4,1,0.645,True,3888,False,,26.6,48,0.542,118,2.0,0.212,2.08,40.87
SG-0098,Golden Horizon,Shadow Studios,Racing,2021-10-05,10,Tuesday,9.99,False,True,15,Multiplayer|Controller Support|3D|Choices Matter|Singleplayer,5,False,True,True,0,2,0.721,False,656,False,,23.9,6,0.443,33,0.25,0.232,1.55,32.93
SG-0099,The Chronicles,Crimson Games,Casual,2023-11-24,11,Friday,9.99,False,True,15,Relaxing|Cute|2D|Sandbox|Narrative|Fantasy|Competitive,7,False,False,False,1,2,0.936,False,570,False,,37.7,4,0.595,28,0.17,0.21,2.53,42.62
SG-0100,Legends of Abyss,Golden Games,Puzzle,2023-06-09,6,Friday,9.99,False,True,25,Singleplayer|Relaxing|2D|Atmospheric|Crafting,5,False,False,False,4,2,0.666,False,1363,False,,56.1,29,0.735,80,1.21,0.203,2.21,46.55
